"ADDRESS","CITY","STATE","ZIPCODE"
"1114 E 62ND ST","CHICAGO","IL",60637
"12033 12TH AVE NE","SEATTLE","WA",98125
"25500 SW 137TH AVE","HOMESTEAD","FL",33032
"14765 CHAMPIONS VIEW PKWY","ALPHARETTA","GA",30004
"4001 E MADISON ST","PHOENIX","AZ",85034
"11790 NW SOUTH RIVER DR","MEDLEY","FL",33178
"8121 SW 162ND ST","MIAMI","FL",33157
"5400 CARILLON PT","KIRKLAND","WA",98033
"11217 N 41ST ST","PHOENIX","AZ",85028
"16193 W LATHAM ST","GOODYEAR","AZ",85338
"12636 TOTEM LAKE BLVD NE","KIRKLAND","WA",98034
"7 BULFINCH PL STE 500","BOSTON","MA",2114
"6354 W GRAND AVE","CHICAGO","IL",60639
"7740 159TH PL NE","REDMOND","WA",98052
"614 W MONTROSE AVE","CHICAGO","IL",60613
"10608 SW 71ST LN","MIAMI","FL",33173
"7862 SW 67TH AVE","SOUTH MIAMI","FL",33143
"3340 PACHTREE RD STE 1800","ATLANTA","GA",30326
"5424 WOODLAND AVE","WESTERN SPRINGS","IL",60558
"3613 N ASHLAND AVE","CHICAGO","IL",60613
"3805 E WINDSONG DR","PHOENIX","AZ",85048
"8984 W POTTER DR","PEORIA","AZ",85382
"31515 NE 141ST ST","DUVALL","WA",98019
"5506 E CALLE NARANJO","GUADALUPE","AZ",85283
"14542 N 90TH LN","PEORIA","AZ",85381
"1043 NE 114TH ST","BISCAYNE PARK","FL",33161
"1615 S 52ND ST","TEMPE","AZ",85281
"70 S VAL VISTA DR","GILBERT","AZ",85296
"9577 HARDING AVE","MIAMI","FL",33154
"8623 NE 19TH PL","BELLEVUE","WA",98004
"1293 N HAZELTON DR","CHANDLER","AZ",85226
"2043 N 90TH PL","CHANDLER","AZ",85224
"666 DUNDEE RD STE 1301","NORTHBROOK","IL",60062
"4760 W JOSHUA BLVD","CHANDLER","AZ",85226
"5118 S OTHELLO ST","SEATTLE","WA",98118
"800 E NORTHWEST HWY","MOUNT PROSPECT","IL",60056
"134 W SLADE ST STE 4","PALATINE","IL",60067
"709 15TH AVE","SEATTLE","WA",98122
"3213 N 41ST PL","PHOENIX","AZ",85018
"15755 N 162ND LN","SUN CITY","AZ",85374
"17422 108TH AVE SE 200","RENTON","WA",98055
"20 S BUENA VISTA AVE","GILBERT","AZ",85296
"454 MELLVIEW AVE SW","ATLANTA","GA",30310
"712 E IVANHOE ST","CHANDLER","AZ",85225
"11500 E COCHISE DR","SCOTTSDALE","AZ",85259
"15414 N 7TH ST 8-166","PHOENIX","AZ",85022
"10838 E RIVERSIDE DR","BOTHELL","WA",98011
"2501 SW 9TH ST","MIAMI","FL",33135
"138 SOUTH ST","JAMAICA PLAIN","MA",2130
"515 E CAREFREE HWY 947","PHOENIX","AZ",85085
"1255 PENNSYLVANIA AVE","MIAMI BEACH","FL",33139
"1448 RAINTREE DR APT 3","ROSWELL","GA",30076
"8330 SW 5TH ST","MIAMI","FL",33144
"2246 W HARRISON ST","CHICAGO","IL",60612
"9173 N 116TH PL","SCOTTSDALE","AZ",85259
"2457 W RUNNING DEER TRL","PHOENIX","AZ",85085
"13800 SW 8TH ST STE 259","MIAMI","FL",33184
"4529 N 10TH ST","PHOENIX","AZ",85014
"1900 NW 97TH AVE","DORAL","FL",33172
"4758 W FLAGLER ST APT 15","CORAL GABLES","FL",33134
"2921 W CITRUS WAY","PHOENIX","AZ",85017
"2570 S VAL VISTA DR","GILBERT","AZ",85295
"630 S WASHINGTON ST","SEATTLE","WA",98104
"1504 DORCHESTER AVE","DORCHESTER","MA",2122
"7650 S 196TH ST","KENT","WA",98032
"2132 CAMPBELLTON RD SW","ATLANTA","GA",30311
"4219 N MULLIGAN AVE","CHICAGO","IL",60634
"2230 E MONTEROSA ST","PHOENIX","AZ",85016
"2136 E GONDOLA LN","GILBERT","AZ",85234
"7425 NW 79TH ST","MEDLEY","FL",33166
"479 E HORSESHOE PL","CHANDLER","AZ",85249
"16 NE 172ND ST","NORTH MIAMI BEACH","FL",33162
"1790 SW 27TH AVE","MIAMI","FL",33145
"17615 SW 119TH AVE","MIAMI","FL",33177
"310 N DOBSON RD STE 5","MESA","AZ",85201
"8201 NW 64TH ST UNIT 1","MIAMI","FL",33166
"13610 N SCOTTSDALE RD","SCOTTSDALE","AZ",85254
"600 N LAKE SHORE DR","CHICAGO","IL",60611
"1411 4TH AVE","SEATTLE","WA",98101
"901 PONCE DE LEON BLVD","CORAL GABLES","FL",33134
"18110 E SUNNYBROOK LN","GILBERT","AZ",85298
"3621 E WIER AVE","PHOENIX","AZ",85040
"3625 W BELMONT AVE","CHICAGO","IL",60618
"4825 SCOTT ST STE 208","SCHILLER PARK","IL",60176
"2833 S QUINN ST","CHICAGO","IL",60608
"2270 ENON RD SW","ATLANTA","GA",30331
"4145 S ROGER WAY","CHANDLER","AZ",85249
"5040 E SHEA BLVD STE 254","SCOTTSDALE","AZ",85254
"7150 W ROOSEVELT ST","PHOENIX","AZ",85043
"9655 SE 36TH ST STE 107","MERCER ISLAND","WA",98040
"6810 152ND AVE NE","REDMOND","WA",98052
"6099 N SAUGANASH AVE","CHICAGO","IL",60646
"12980 ORTEGA LN","NORTH MIAMI","FL",33181
"600 SW KENYON ST APT H20","SEATTLE","WA",98106
"901 S 7TH AVE","PHOENIX","AZ",85007
"3314 FUHRMAN AVE E APT 1","SEATTLE","WA",98102
"20609 SE 271ST ST","COVINGTON","WA",98042
"17403 S DIXIE HWY","MIAMI","FL",33157
"1725 W HARRISON ST","CHICAGO","IL",60612
"990 E RIGGS RD","CHANDLER","AZ",85249
